height_ft,band,frequency_mhz,total_length_lambda,apex_angle_deg,center_height_ft,end_height_ft,projected_span_ft,peak_elevation_deg,peak_azimuth_deg,peak_bearing,low_angle_peak_elevation_deg,low_angle_peak_azimuth_deg,low_angle_peak_bearing,low_angle_peak_relative_db,broadside_15deg_relative_db,best_15deg_relative_db,best_15deg_azimuth_deg,best_15deg_bearing,wire_axis_15deg_relative_db,zenith_relative_db
20.0,40m,7.05,0.4157300047888463,120.0,20.0,5.500000000000003,50.229473419497445,90.0,64.0,NE,30.0,0.0,N,-4.3917026697551025,-9.486619543111354,-9.486619543111354,0.0,N,-9.796609213639139,0.0
20.0,20m,14.05,0.8285115698274171,120.0,20.0,5.500000000000003,50.229473419497445,90.0,8.0,N,30.0,180.0,S,-2.718928106287982,-7.377070122942139,-7.377070122942136,180.0,S,-10.59614755914819,0.0
20.0,17m,18.08,1.0661558136996228,120.0,20.0,5.500000000000003,50.229473419497445,68.0,0.0,N,30.0,0.0,N,-2.112893965606365,-6.615652234862241,-6.615652234862241,0.0,N,-10.261887765709432,-0.052452167325431204
20.0,15m,21.05,1.241293134865988,120.0,20.0,5.500000000000003,50.229473419497445,90.0,8.0,N,30.0,0.0,N,-2.7343852495652534,-7.433986844915785,-7.433986844915785,0.0,N,-10.594262194890087,0.0
20.0,12m,24.91,1.468912683587257,120.0,20.0,5.500000000000003,50.229473419497445,90.0,28.0,NE,23.0,230.0,SW,-6.077517396036566,-15.64393289514669,-6.906676968278881,48.0,NE,-13.0210135185717,0.0
20.0,10m,28.05,1.6540746999045586,120.0,20.0,5.500000000000003,50.229473419497445,90.0,52.0,NE,26.0,48.0,NE,-2.821868813766908,-18.668212935918575,-4.459647736075635,42.0,NE,-12.192638730550744,0.0
30.0,40m,7.05,0.4157300047888463,120.0,30.0,15.500000000000002,50.229473419497445,90.0,8.0,N,30.0,0.0,N,-3.355255656630133,-8.21104625750554,-8.21104625750554,0.0,N,-12.251607292258985,0.0
30.0,20m,14.05,0.8285115698274171,120.0,30.0,15.500000000000002,50.229473419497445,41.0,0.0,N,30.0,0.0,N,-0.5435382541430231,-4.314115294343939,-4.314115294343938,180.0,S,-12.108319105983202,-2.4420306618438485
30.0,17m,18.08,1.0661558136996228,120.0,30.0,15.500000000000002,50.229473419497445,34.0,0.0,N,30.0,0.0,N,-0.09654792210201128,-3.222970308523452,-3.222970308523452,0.0,N,-11.629235536874473,-6.310895534444274
30.0,15m,21.05,1.241293134865988,120.0,30.0,15.500000000000002,50.229473419497445,33.0,0.0,N,30.0,0.0,N,-0.0558321873818889,-3.0857205390662656,-3.0857205390662656,0.0,N,-11.295758712961632,-8.02707354409111
30.0,12m,24.91,1.468912683587257,120.0,30.0,15.500000000000002,50.229473419497445,41.0,0.0,N,30.0,0.0,N,-0.9469607970443689,-6.0525240954552775,-3.608347191807786,52.0,NE,-12.000026424855202,-6.497190724355342
30.0,10m,28.05,1.6540746999045586,120.0,30.0,15.500000000000002,50.229473419497445,46.0,180.0,S,18.0,226.0,SW,-0.0829020897628474,-17.479845519122478,-0.3974284972084121,134.0,SE,-11.681871113249827,-7.132948493360294
