case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,device,comparison_bands,likely_match_band_count,uncertain_match_band_count,unlikely_match_band_count,supported_comparison_band_count,geometric_mean_efficiency,worst_band_efficiency,median_atu_dissipation_loss_db
low_sloper_cp_sweep_feed3_end30_dedicated_angled_5ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_5ft_az90,5.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.39831766177541184,0.2835637159966,0.19992223068476223
low_sloper_cp_sweep_feed3_end30_dedicated_angled_5ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_5ft_az135,5.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.4075204683809498,0.29090874697353264,0.19901095907514685
low_sloper_cp_sweep_feed3_end30_dedicated_angled_5ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_5ft_az180,5.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.41046424196611864,0.29321099270933443,0.18942352030151685
low_sloper_cp_sweep_feed3_end30_dedicated_angled_9ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_9ft_az90,9.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5213085426689756,0.40946160797072434,0.1249464514640207
low_sloper_cp_sweep_feed3_end30_dedicated_angled_9ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_9ft_az135,9.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5287906137073286,0.4160678540559512,0.11656730397879796
low_sloper_cp_sweep_feed3_end30_dedicated_angled_9ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_9ft_az180,9.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5313181234900494,0.4180243681119607,0.11650734585524647
low_sloper_cp_sweep_feed3_end30_dedicated_angled_13ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_13ft_az90,13.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5652924070673945,0.4765555680305408,0.12363239930240486
low_sloper_cp_sweep_feed3_end30_dedicated_angled_13ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_13ft_az135,13.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5707118608554413,0.4815792767267536,0.1208418317599142
low_sloper_cp_sweep_feed3_end30_dedicated_angled_13ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_13ft_az180,13.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5727482830308231,0.4830500656302896,0.12079075485411064
low_sloper_cp_sweep_feed3_end30_dedicated_angled_17ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_17ft_az90,17.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5515932157323986,0.41437341614343864,0.1391253860449634
low_sloper_cp_sweep_feed3_end30_dedicated_angled_17ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_17ft_az135,17.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5606081588493551,0.4340078244069759,0.13840118326570044
low_sloper_cp_sweep_feed3_end30_dedicated_angled_17ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_17ft_az180,17.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5633550644845872,0.43762081820323834,0.13812682529241613
low_sloper_cp_sweep_feed3_end30_dedicated_angled_21ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5708176899972839,0.4697514435468381,0.13145169379172558
low_sloper_cp_sweep_feed3_end30_dedicated_angled_21ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5734658398145515,0.47245483008527517,0.1294906272390433
low_sloper_cp_sweep_feed3_end30_dedicated_angled_21ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5742081003436348,0.47112376007820517,0.1287363375626898
low_sloper_cp_sweep_feed3_end30_dedicated_angled_25ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5596562799013374,0.43015835004061004,0.16814851866878894
low_sloper_cp_sweep_feed3_end30_dedicated_angled_25ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5648500259235272,0.45295491902520874,0.15141289755373513
low_sloper_cp_sweep_feed3_end30_dedicated_angled_25ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.56581391438625,0.4587989216582058,0.14869854987964362
low_sloper_cp_sweep_feed3_end30_dedicated_angled_29ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5832236094489928,0.49662936702265176,0.12745529111531728
low_sloper_cp_sweep_feed3_end30_dedicated_angled_29ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5841900206924793,0.5000705618471065,0.12069334503653031
low_sloper_cp_sweep_feed3_end30_dedicated_angled_29ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5839265109371391,0.49754671184959054,0.11958758961829749
low_sloper_cp_sweep_feed3_end30_dedicated_angled_33ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_33ft_az90,33.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5879092134943599,0.5341089395827903,0.1225938629204807
low_sloper_cp_sweep_feed3_end30_dedicated_angled_33ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_33ft_az135,33.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.590973250031293,0.5480707188486328,0.1202811634047238
low_sloper_cp_sweep_feed3_end30_dedicated_angled_33ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_33ft_az180,33.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.592668781940854,0.5554702449243933,0.12014073073433669
low_sloper_cp_sweep_feed3_end30_dedicated_angled_37ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_37ft_az90,37.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5877572873862285,0.4446957068769914,0.1269143570564157
low_sloper_cp_sweep_feed3_end30_dedicated_angled_37ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_37ft_az135,37.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5920695453553422,0.4602851253797129,0.13312717786947645
low_sloper_cp_sweep_feed3_end30_dedicated_angled_37ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_37ft_az180,37.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5932919652540838,0.4617982521779879,0.13499965567878897
low_sloper_cp_sweep_feed3_end30_dedicated_angled_41ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_41ft_az90,41.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.6211578052780342,0.5058816559929491,0.12004236742017746
low_sloper_cp_sweep_feed3_end30_dedicated_angled_41ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_41ft_az135,41.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.6227300331631036,0.506998650548649,0.12075319680435714
low_sloper_cp_sweep_feed3_end30_dedicated_angled_41ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_41ft_az180,41.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.6225559123337739,0.504478171743124,0.12110459301114818
low_sloper_cp_sweep_feed3_end30_dedicated_angled_45ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_45ft_az90,45.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5998989555842067,0.5144327079480527,0.1413805753329227
low_sloper_cp_sweep_feed3_end30_dedicated_angled_45ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_45ft_az135,45.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.6020718979752665,0.5364153646869396,0.14195551685280725
low_sloper_cp_sweep_feed3_end30_dedicated_angled_45ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_45ft_az180,45.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.6020874431980211,0.5324886234493169,0.14193846300011576
low_sloper_cp_sweep_feed3_end30_dedicated_angled_49ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_49ft_az90,49.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.558868428442262,0.4924013970660283,0.16461094649376135
low_sloper_cp_sweep_feed3_end30_dedicated_angled_49ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_49ft_az135,49.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5668794928304366,0.504337397670075,0.1593344814511768
low_sloper_cp_sweep_feed3_end30_dedicated_angled_49ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_49ft_az180,49.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.569094733363249,0.5064824051182019,0.1587962114330468
low_sloper_cp_sweep_feed3_end30_dedicated_angled_53ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_53ft_az90,53.0,90.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5334478835725617,0.4506475293947007,0.18749162448480625
low_sloper_cp_sweep_feed3_end30_dedicated_angled_53ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_53ft_az135,53.0,135.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.545775307128249,0.4690093391392655,0.18064362457246655
low_sloper_cp_sweep_feed3_end30_dedicated_angled_53ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_53ft_az180,53.0,180.0,17.0,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5492487046318333,0.47751863569407776,0.1792855162468968
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5450489982171592,0.4330432432712154,0.11182999306493525
elevated_tree_feed20_end3_dedicated_vertical_19.5ft_vertical_none,elevated_tree,20.0,3.0,dedicated_vertical,dedicated_vertical_19.5ft_vertical,19.5,,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5215642001208962,0.4158810380932403,0.11482519831181495
elevated_tree_feed20_end3_dedicated_angled_21ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5359272755072214,0.46387409484573505,0.12005023022647829
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.540055976044991,0.4623406931155806,0.11278653202477466
elevated_tree_feed20_end3_dedicated_angled_21ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5410047193177028,0.45892139769904094,0.11548269326329136
elevated_tree_feed20_end3_dedicated_angled_25ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5213262553168532,0.40355766357764283,0.13067613880876877
elevated_tree_feed20_end3_dedicated_angled_25ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5297021675647716,0.45436493121967914,0.13078901793789957
elevated_tree_feed20_end3_dedicated_angled_25ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5305969078925714,0.46905262533350955,0.13312954850620465
elevated_tree_feed20_end3_dedicated_angled_29ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5380512412556482,0.4472566073211238,0.09426797806870538
elevated_tree_feed20_end3_dedicated_angled_29ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5382376612680793,0.4547717668697441,0.10308664540212724
elevated_tree_feed20_end3_dedicated_angled_29ft_az180_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_29ft_az180,29.0,180.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.53560627966067,0.4466229754322881,0.09816724392437753
elevated_tree_feed20_end3_dedicated_angled_33ft_az90_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_33ft_az90,33.0,90.0,19.5,none,kx2,"40m,30m,20m,17m,15m,12m,10m",7,0,0,7,0.5335888427087925,0.4859774990759297,0.12010133809252782
