device,band,counterpoise_length_ft,counterpoise_azimuth_deg,match_status,pa_forward_radiating_efficiency,raw_swr_at_tuner,tuned_input_swr,atu_dissipation_loss_db,coax_loss_db
kx2,80m,53.0,180.0,unlikely,0.37473060029061894,10.153429137290606,2.866113648035509,0.4771188501370164,1.6814189741812344
kx2,60m,37.0,180.0,likely,0.6385059317150849,5.160216823817679,1.0256300421649711,0.1292355109459049,0.9924691823237519
kx2,40m,13.0,180.0,likely,0.7262529851594839,2.411354945174163,1.0527698949152853,0.0830217670740164,0.5631651060177972
kx2,30m,41.0,135.0,likely,0.7362592147416492,1.82868320798244,1.0929968526884983,0.08152789344153256,0.5594424464581891
kx2,20m,49.0,90.0,likely,0.6885308077463738,2.5423424200311415,1.0068197812131514,0.08214554762310314,0.8434097684253241
kx2,17m,33.0,90.0,likely,0.5819353488257967,3.9470029395116444,1.0562941799352834,0.1225938629204807,1.4834388562637355
kx2,15m,41.0,90.0,likely,0.7281210655721255,1.3138313808517608,1.0869923958178953,0.01838277173500672,0.6952559687997093
kx2,12m,45.0,90.0,likely,0.7031398616347864,1.4901545938569114,1.0684471168449978,0.04380491239728181,0.7943146366768314
kx2,10m,13.0,90.0,likely,0.5707313970582637,3.052358033735175,1.1775542281459406,0.18206494446828614,1.4569400434073265
kx3,160m,37.0,180.0,uncertain,0.05977843480895484,38.33273869005321,2.473164973547277,1.4208431830032462,8.898566469128639
kx3,80m,53.0,180.0,likely,0.4967983505525138,10.153429137290606,1.053091995046036,0.4015621626979244,1.6814189741812344
kx3,60m,37.0,180.0,likely,0.6382024870442767,5.160216823817679,1.0281524737321315,0.13115842044730636,0.9924691823237519
kx3,40m,13.0,180.0,likely,0.7258747599298985,2.411354945174163,1.0554995318531628,0.08498774874130423,0.5631651060177972
kx3,30m,41.0,180.0,likely,0.7355794805145793,1.8035689650022115,1.0214137662852103,0.09260941638691152,0.5548405863805368
kx3,20m,49.0,90.0,likely,0.688224583126854,2.5423424200311415,1.0110274558490457,0.0839970713589032,0.8434097684253241
kx3,17m,33.0,90.0,likely,0.5814979985100538,3.9470029395116444,1.0738029459403535,0.12361123311152918,1.4834388562637355
kx3,15m,41.0,90.0,likely,0.7277722593780211,1.3138313808517608,1.087490744209071,0.020380553163256286,0.6952559687997093
kx3,12m,45.0,90.0,likely,0.7027723762614585,1.4901545938569114,1.076505011818978,0.04493429171048205,0.7943146366768314
kx3,10m,13.0,90.0,likely,0.5731975934190844,3.052358033735175,1.0975112613713085,0.18291325597753338,1.4569400434073265
kx3,6m,37.0,90.0,likely,0.6407199698621793,1.5751589968442132,1.0265234126135598,0.08439140130759104,1.1675736195636874
kh1,40m,13.0,180.0,likely,0.7269409877676509,2.411354945174163,1.0638117872694288,0.07762653880051483,0.5631651060177972
kh1,30m,41.0,135.0,likely,0.7378777517856916,1.82868320798244,1.0665461102435432,0.07606792066307386,0.5594424464581891
kh1,20m,49.0,90.0,likely,0.6843621365189501,2.5423424200311415,1.1633421532858728,0.08374004740957681,0.8434097684253241
kh1,17m,33.0,90.0,likely,0.5765593148810533,3.9470029395116444,1.283908229589006,0.09852421422917665,1.4834388562637355
kh1,15m,41.0,90.0,likely,0.724963964907918,1.3138313808517608,1.1861289382840017,0.013210358667640977,0.6952559687997093
