case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition
low_sloper_cp_sweep_feed3_end30_dedicated_angled_5ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_5ft_az90,5.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_5ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_5ft_az135,5.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_5ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_5ft_az180,5.0,180.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_9ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_9ft_az90,9.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_9ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_9ft_az135,9.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_9ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_9ft_az180,9.0,180.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_13ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_13ft_az90,13.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_13ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_13ft_az135,13.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_13ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_13ft_az180,13.0,180.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_17ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_17ft_az90,17.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_17ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_17ft_az135,17.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_17ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_17ft_az180,17.0,180.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_21ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_21ft_az90,21.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_21ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_21ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_21ft_az180,21.0,180.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_25ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_25ft_az90,25.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_25ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_25ft_az135,25.0,135.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_25ft_az180_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_25ft_az180,25.0,180.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_29ft_az90_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_29ft_az90,29.0,90.0,17.0,none
low_sloper_cp_sweep_feed3_end30_dedicated_angled_29ft_az135_none,low_sloper_cp_sweep,3.0,30.0,dedicated_angled,dedicated_angled_29ft_az135,29.0,135.0,17.0,none
