case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,160m,1850000,8.2603,-2586.7,16206.63921909144,0.8115000000000001,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,80m,3550000,15.129,-1122.6,1669.587141998536,0.8295,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,60m,5357000,36.384,-412.53,95.63861848683202,0.8675,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,40m,7050000,136.81,275.65,14.138745152537174,0.8981,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,30m,10120000,307.66,-1234.8,105.42415655435605,0.9198999999999999,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,20m,14050000,80.308,128.72,6.193630028942117,0.9139,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,17m,18080000,3579.9,431.31,72.63749324196434,0.9228000000000001,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,15m,21050000,481.76,237.62,11.999691843139654,0.9684999999999999,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,12m,24910000,1882.4,-692.39,42.744706353750715,0.9882,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,10m,28050000,841.14,-1564.2,75.04524140231098,0.9201999999999999,True
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,6m,50100000,1041.3,-614.67,28.095106678474227,0.985,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,160m,1850000,8.3682,-2406.3,13844.91213537192,0.7501000000000001,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,80m,3550000,15.875,-1036.3,1356.433537575742,0.7884,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,60m,5357000,38.274,-361.66,70.40584924268016,0.8459,True
elevated_tree_feed20_end3_dedicated_angled_21ft_az135_none,elevated_tree,20.0,3.0,dedicated_angled,dedicated_angled_21ft_az135,21.0,135.0,19.5,none,40m,7050000,139.85,298.16,15.804787826508203,0.8884000000000001,True
