device,return_kind,baseline_return_id,mast_condition,baseline_geometric_mean_efficiency,mast_geometric_mean_efficiency,geometric_mean_delta_db,baseline_worst_band_efficiency,mast_worst_band_efficiency,worst_band_delta_db,baseline_likely_matches,mast_likely_matches
kx2,coax_return,coax_return_19.5ft_vertical,cfrp_5e3_3in,0.5786676351039308,0.48140120932409997,-0.7992201601293468,0.4596470547714348,0.28011730132446033,-2.150845480182984,7,7
kx2,coax_return,coax_return_19.5ft_vertical,cfrp_5e4_3in,0.5786676351039308,0.482692171294782,-0.7875893781619927,0.4596470547714348,0.2683929821457511,-2.3365332583032776,7,7
kx2,coax_return,coax_return_19.5ft_vertical,cfrp_5e4_12in,0.5786676351039308,0.5082329656997864,-0.5636636151199396,0.4596470547714348,0.3558287151603039,-1.1118348921994063,7,7
kx2,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e3_3in,0.5560161274492197,0.4350367083260866,-1.0656148443559452,0.4490396009548199,0.17572110671515806,-4.074607134231191,7,7
kx2,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e4_3in,0.5560161274492197,0.4373952087125824,-1.0421336722749497,0.4490396009548199,0.1692785433080743,-4.236827301313375,7,7
kx2,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e4_12in,0.5560161274492197,0.472987667123852,-0.7023757172212448,0.4490396009548199,0.2681160805224427,-2.2396178127251227,7,7
kx2,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e3_3in,0.5825660323303422,0.57159790718055,-0.08254528609297637,0.49634249660112717,0.5025916812922194,0.054338351679310476,7,7
kx2,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e4_3in,0.5825660323303422,0.5788238250491728,-0.02798759756069417,0.49634249660112717,0.5073086444823113,0.09490801839842683,7,7
kx2,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e4_12in,0.5825660323303422,0.5743220734604743,-0.06189650377184576,0.49634249660112717,0.5085575578524602,0.10558652029269934,7,7
kx3,coax_return,coax_return_19.5ft_vertical,cfrp_5e3_3in,0.578443228968926,0.48047425537502775,-0.8059061936375778,0.45965992944864853,0.2784621480552422,-2.1767047710474157,7,7
kx3,coax_return,coax_return_19.5ft_vertical,cfrp_5e4_3in,0.578443228968926,0.4816585843476709,-0.7952143686395213,0.45965992944864853,0.26655728192213957,-2.366460948057862,7,7
kx3,coax_return,coax_return_19.5ft_vertical,cfrp_5e4_12in,0.578443228968926,0.5081573288829854,-0.562625481990089,0.45965992944864853,0.3566438744115749,-1.1020187693211267,7,7
kx3,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e3_3in,0.5555199992543406,0.4341638624492525,-1.070460263775501,0.4487718512759148,0.17436984361859417,-4.105542303960988,7,7
kx3,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e4_3in,0.5555199992543406,0.4364345241934643,-1.0478060039701678,0.4487718512759148,0.16778922984375433,-4.272615278241945,7,7
kx3,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e4_12in,0.5555199992543406,0.4727522035945847,-0.7006613672035354,0.4487718512759148,0.26795171856424355,-2.2396906162866164,7,7
kx3,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e3_3in,0.5822898039385093,0.5707377960619732,-0.08702551698182626,0.4961125661519181,0.5023504490007212,0.054265672454141434,7,7
kx3,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e4_3in,0.5822898039385093,0.578514144847145,-0.02825203503633385,0.4961125661519181,0.5070643406789961,0.09482842321492103,7,7
kx3,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e4_12in,0.5822898039385093,0.574229473591064,-0.060537057013238395,0.4961125661519181,0.5083198099251824,0.10556807565779694,7,7
kh1,coax_return,coax_return_19.5ft_vertical,cfrp_5e3_3in,0.5891626896382631,0.5245795205502195,-0.5042390429832282,0.4541535514696282,0.4044243113126348,-0.5036546009661494,4,4
kh1,coax_return,coax_return_19.5ft_vertical,cfrp_5e4_3in,0.5891626896382631,0.5291461845959575,-0.46659567141332614,0.4541535514696282,0.40636154765336996,-0.4829010901679036,4,4
kh1,coax_return,coax_return_19.5ft_vertical,cfrp_5e4_12in,0.5891626896382631,0.5380911760417367,-0.39379365868310645,0.4541535514696282,0.44435161546545743,-0.09475951300533886,4,4
kh1,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e3_3in,0.5726269276373062,0.5020461704240231,-0.571281080989532,0.4539734851512511,0.37890518384670835,-0.7849994117422597,4,4
kh1,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e4_3in,0.5726269276373062,0.507777650472225,-0.5219818500656171,0.4539734851512511,0.38356537632410864,-0.7319109074654896,4,4
kh1,dedicated_vertical,dedicated_vertical_19.5ft_vertical,cfrp_5e4_12in,0.5726269276373062,0.516910991373823,-0.4445599983696239,0.4539734851512511,0.4130364836528873,-0.41042073394289946,4,4
kh1,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e3_3in,0.5820148074361357,0.5768697083296012,-0.03856299401484536,0.49535826476283085,0.4933299366621591,-0.01781942853520941,5,5
kh1,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e4_3in,0.5820148074361357,0.5803500391947621,-0.012440158652907153,0.49535826476283085,0.493470937549613,-0.016578328950039727,5,5
kh1,dedicated_angled,dedicated_angled_41ft_az90,cfrp_5e4_12in,0.5820148074361357,0.5684679451786983,-0.10228053294800746,0.49535826476283085,0.5061355431778413,0.09347423207719661,5,5
