case_id,family,feed_height_ft,radiator_end_height_ft,return_kind,return_id,return_length_ft,return_azimuth_deg,coax_length_ft,mast_condition,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit,device,device_label,atu_profile,raw_swr_at_tuner,coax_efficiency,coax_loss_db,transformer_loss_db,choke_loss_db,tuned_input_swr,match_success_swr_2p5,atu_topology,atu_inductance_uH,atu_capacitance_pF,atu_dissipation_loss_db,atu_residual_mismatch_efficiency,atu_transducer_efficiency,atu_total_loss_db,pa_forward_radiating_efficiency,pa_forward_total_loss_db
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,160m,1850000,8.2603,-2586.7,16206.63921909144,0.8115000000000001,True,kx3,KX3 / KXAT3,kxat3,37.58738310061522,0.02025340411867139,16.9350197167368,0.25,0.1,1.9331319163879332,True,source_shunt,9.679999999999998,2683.0,1.2307219100531201,0.8987901230401384,0.6769959961767388,1.694138997690517,0.010265323795468722,19.88627347280481
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,80m,3550000,15.129,-1122.6,1669.587141998536,0.8295,True,kx2,KX2 / KXAT2,kxat2,24.541648647006582,0.11402268582020401,9.430087333445504,0.25,0.1,4.119927829459663,False,source_shunt,2.438,1323.0,1.331905482642104,0.6286688200903697,0.46262742334461965,3.347686269604587,0.04036816702187212,13.939609699446297
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,80m,3550000,15.129,-1122.6,1669.587141998536,0.8295,True,kx3,KX3 / KXAT3,kxat3,24.541648647006582,0.11402268582020401,9.430087333445504,0.25,0.1,1.3488370128738016,True,source_shunt,2.0599999999999996,2683.0,1.22438699961538,0.9779433600392287,0.7376918787497758,1.3212499766344892,0.06436987404844452,11.9131734064762
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,60m,5357000,36.384,-412.53,95.63861848683202,0.8675,True,kx2,KX2 / KXAT2,kxat2,11.360230644004915,0.4953653584134325,3.0507436750376478,0.25,0.1,1.7042497041026252,True,source_shunt,0.25,1323.0,0.32281509659109114,0.9321796909234616,0.8654024636334146,0.6278187278315261,0.3430940947688126,4.64586756824006
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,60m,5357000,36.384,-412.53,95.63861848683202,0.8675,True,kx3,KX3 / KXAT3,kxat3,11.360230644004915,0.4953653584134325,3.0507436750376478,0.25,0.1,1.0074675226057532,True,source_shunt,0.12,1790.0,0.2947764353965582,0.9999861625509046,0.9343645371770402,0.2948365310902023,0.3704345302194946,4.312885371498736
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,40m,7050000,136.81,275.65,14.138745152537174,0.8981,True,kx2,KX2 / KXAT2,kxat2,3.7760934892821583,0.7991656614845156,0.9736318512764242,0.25,0.1,1.0800554807817861,True,load_shunt,1.7499999999999998,82.0,0.11182999306493525,0.9985187365655128,0.9731352833640229,0.11826780765103148,0.6443691361379668,1.9086526950356022
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,40m,7050000,136.81,275.65,14.138745152537174,0.8981,True,kx3,KX3 / KXAT3,kxat3,3.7760934892821583,0.7991656614845156,0.9736318512764242,0.25,0.1,1.0804311108937106,True,load_shunt,1.7499999999999998,82.0,0.1138786802495302,0.9985053432940537,0.9726632901503848,0.1203747477525347,0.6440566021413742,1.910759635137106
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,40m,7050000,136.81,275.65,14.138745152537174,0.8981,True,kh1,KH1 / KHATU1,khatu1,3.7760934892821583,0.7991656614845156,0.9736318512764242,0.25,0.1,1.270012109672115,True,load_shunt,1.75,60.0,0.0899974619925918,0.9858515085654673,0.9656322440531299,0.15188240859601831,0.6394009399972861,1.9422672959805891
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,40m,7050000,136.81,275.65,14.138745152537174,0.8981,True,kh1,KH1 / KHATU1,khatu1_wide_sensitivity,3.7760934892821583,0.7991656614845156,0.9736318512764242,0.25,0.1,1.2588201243979604,True,load_shunt,1.5,100.0,0.10511061284520754,0.9868709655900788,0.9632728296848949,0.1625068936019224,0.6378386353267623,1.9528917809864932
elevated_tree_feed20_end3_coax_return_19.5ft_vertical_none,elevated_tree,20.0,3.0,coax_return,coax_return_19.5ft_vertical,19.5,,19.5,none,30m,10120000,307.66,-1234.8,105.42415655435605,0.9198999999999999,True,kx2,KX2 / KXAT2,kxat2,7.315216983850872,0.5519143597885264,2.5812830625039487,0.25,0.1,1.077785954976969,True,load_shunt,0.8749999999999999,604.0,0.09915936695976371,0.9985984752766783,0.976056508885391,0.10525038084666868,0.45718005392324507,3.399127254771776
