deployment,deployment_label,return_path,return_label,choke_position,ground,band,frequency_hz,antenna_resistance_ohm,antenna_reactance_ohm,antenna_raw_swr_50ohm,nec_radiation_efficiency,cache_hit
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,160m,1850000,12.995,-2642.7,10752.646555745572,0.8787999999999999,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,80m,3550000,21.819,-1160.2,1236.5729194961677,0.8805,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,60m,5357000,44.448,-454.82,95.08346110240701,0.8912,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,40m,7050000,133.02,200.02,8.939759594360087,0.8978,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,30m,10120000,257.52,-1292.8,135.1392599338518,0.8905,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,20m,14050000,89.464,79.578,3.476180528153441,0.9227,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,17m,18080000,3379.4,-39.132,67.59706461897744,0.9124,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,15m,21050000,202.33,78.62,4.691564924269905,0.9401,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,12m,24910000,1366.7,1438.9,57.65152248069606,0.9803000000000001,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,10m,28050000,1641.5,-1778.6,71.38946732378245,0.9703,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,average,6m,50100000,254.13,263.51,10.650178920412102,0.9434,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,160m,1850000,34.74,-2655.8,4062.7404030272974,0.9547,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,80m,3550000,36.161,-1174.2,764.6640819770678,0.9281,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,60m,5357000,59.501,-467.82,75.58076633112321,0.9190999999999999,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,40m,7050000,166.0,177.01,7.258438980814709,0.9195,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,30m,10120000,312.11,-1285.8,112.33573891960565,0.909,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,20m,14050000,99.657,65.292,3.0191897825402627,0.9314,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,17m,18080000,3057.2,262.14,61.59366394626271,0.9190999999999999,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,15m,21050000,212.75,55.238,4.55743364830778,0.943,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,12m,24910000,1237.5,1355.1,54.44954968833288,0.98,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,10m,28050000,1775.0,-1749.4,69.99726708006658,0.9678,True
horizontal_10,10 ft low horizontal,coax_common_mode,17 ft coax exterior as counterpoise; choke at radio,radio,poor,6m,50100000,258.01,247.72,10.01090764760214,0.9447,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,160m,1850000,11.8,-2690.8,12276.345477864186,0.8319,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,80m,3550000,20.093,-1199.6,1435.2691869565977,0.8414,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,60m,5357000,41.208,-495.48,121.18109445341527,0.8645999999999999,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,40m,7050000,124.1,144.42,6.081819916252493,0.8833,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,30m,10120000,247.03,-1255.2,132.69301523120507,0.8811,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,20m,14050000,81.573,69.31,3.0995954987265693,0.8935,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,17m,18080000,3217.6,64.09,64.37753779102327,0.9057,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,15m,21050000,178.17,106.83,4.921956188301988,0.9029,True
horizontal_10,10 ft low horizontal,dedicated_counterpoise,17 ft dedicated 26-AWG counterpoise; choke at feedpoint,feedpoint,average,12m,24910000,1098.1,1579.1,67.4085403690877,0.9487000000000001,True
