rank,candidate_id,scenario_count,weighted_efficiency_p10,weighted_efficiency_p50,weighted_efficiency_p90,must_band_floor_p10,must_band_floor_p50,must_band_floor_p90,must_band_match_fraction,all_band_match_fraction
1,linked-dipole-five-band,6,0.8640629509055268,0.8640629509055268,0.8661474486133909,0.828470568177316,0.828470568177316,0.828470568177316,1.0,1.0
2,direct-41r-28c-linked14,288,0.7777181584236262,0.8294236245305897,0.8807239338832052,0.7483137048112294,0.8156907365978097,0.8823101913131651,1.0,1.0
3,direct-41r-28c-z1,288,0.7405685519573628,0.7901435679822738,0.8417727719506531,0.7483137048112294,0.8156907365978097,0.8823101913131651,1.0,0.07291666666666667
4,direct-42r-24c-z4,288,0.5900446050230996,0.7455708579160111,0.8140526925861437,0.5770376904517694,0.7268177350609657,0.806008853750141,1.0,1.0
5,direct-52r-28c-z4,288,0.5812247713328335,0.7333459469822148,0.8004447974099138,0.5735312543561584,0.7230601140045694,0.793433391172204,1.0,1.0
6,direct-44r-14c-z4,288,0.5679565897482358,0.7180737701023852,0.7895472832401346,0.5509139651407398,0.6981165758442014,0.7754418584817978,1.0,1.0
7,direct-44r-12c-z4,288,0.5607744161382031,0.7084786583290674,0.7810848751164481,0.5303066324169474,0.6684234106802587,0.7595114237895922,1.0,1.0
8,direct-41r-12c-z4,288,0.5588649153913128,0.7057836138985127,0.7810560930335175,0.518876232506419,0.6503905824188272,0.7571074496499522,1.0,0.9375
9,ocfd-68ft-f0.36-z4,144,0.547238313868845,0.6938584095952315,0.7627597085760649,0.5153250112000245,0.6501829895279172,0.7346825077907451,0.9375,0.9375
10,doublet-58r-32l,972,0.5406314701262984,0.585686282405552,0.6249439802087687,0.5768108346577567,0.6280424391417951,0.6857284214923614,0.8333333333333334,0.24074074074074073
11,vertical-32r-4x12-z1,144,0.6829781007698278,0.7450594670646684,0.8093163021532537,0.5318485967444272,0.6278123686260397,0.753421057871807,0.5,0.0
12,direct-41r-17c-z1,288,0.5971400014296179,0.6661558420515337,0.7200967739611711,0.4280200940998709,0.514519837057611,0.6174693084306755,0.0,0.0
