candidate_id,id,design_id,family,transformer_ratio,choke_required,total_wire_ft,component_count,support_count,band_changes_touch_antenna,packed_complexity,objective,scenario_count,worst_band_final_efficiency_p10,worst_band_final_efficiency_p50,median_final_efficiency,all_band_target_fraction,rollback_fraction,maximum_input_swr_p90,pareto,selection_reason
linked-dipole-five-band,linked-dipole-five-band,linked-dipole-five-band,linked_dipole_reference,1.0,False,67.41432180184988,8,1,True,medium,lowest_loss_swr_2p5,6,0.828470568177316,0.828470568177316,0.88005820851098,1.0,0.0,1.3077600026708898,True,nondominated efficiency/wire tradeoff
direct-41r-28c-linked14,direct-41r-28c-linked14,direct-41r-28c-linked14,linked_counterpoise,1.0,False,69.0,1,1,True,low,lowest_loss_swr_2p5,288,0.6910163126091434,0.7679978971285534,0.833062928288572,1.0,0.0,1.8160062520284939,False,best lower-tail result in candidate family
direct-52r-28c-z4,direct-52r-28c-z4,direct-52r-28c,direct_counterpoise,4.0,True,80,2,1,False,low,lowest_loss_swr_2p5,288,0.5503831894236103,0.6961693515020895,0.7273407532729697,1.0,0.0,1.6933618268371138,False,best lower-tail result in candidate family
direct-44r-14c-z4,direct-44r-14c-z4,direct-44r-14c,direct_counterpoise,4.0,True,58,2,1,False,low,lowest_loss_swr_2p5,288,0.5469766562660159,0.6881228861638011,0.721395462500445,1.0,0.0,1.6606265006584484,True,nondominated efficiency/wire tradeoff
direct-42r-24c-z4,direct-42r-24c-z4,direct-42r-24c,direct_counterpoise,4.0,True,66,2,1,False,low,lowest_loss_swr_2p5,288,0.5440245269096777,0.6907584609873232,0.7350898438102307,1.0,0.0,1.9477009689609248,True,nondominated efficiency/wire tradeoff
direct-41r-24c-z4,direct-41r-24c-z4,direct-41r-24c,direct_counterpoise,4.0,True,65,2,1,False,low,lowest_loss_swr_2p5,288,0.5323798354782264,0.6701603248472455,0.7303182908469681,1.0,0.0,2.0943606532082355,True,nondominated efficiency/wire tradeoff
vertical-32r-4x12-z1,vertical-32r-4x12-z1,vertical-32r-4x12,radial_vertical,1.0,False,80,0,1,False,high,lowest_loss_swr_2p5,144,0.5318485967444272,0.5920254682805213,0.7819109122277987,0.0,0.3,3.291492099219609,False,best lower-tail result in candidate family
direct-44r-12c-z4,direct-44r-12c-z4,direct-44r-12c,direct_counterpoise,4.0,True,56,2,1,False,low,lowest_loss_swr_2p5,288,0.5303066324169474,0.6682357535888181,0.7140108974574477,1.0,0.0,1.8312078695677965,True,nondominated efficiency/wire tradeoff
direct-41r-12c-z4,direct-41r-12c-z4,direct-41r-12c,direct_counterpoise,4.0,True,53,2,1,False,low,lowest_loss_swr_2p5,288,0.5083147254074014,0.6422343238881205,0.6968985366176673,0.9375,0.0125,2.074379000639909,True,nondominated efficiency/wire tradeoff
ocfd-68ft-f0.36-z4,ocfd-68ft-f0.36-z4,ocfd-68ft-f0.36,ocfd,4.0,True,68,3,1,False,medium,lowest_loss_swr_2p5,144,0.5045991418819045,0.6350772527223906,0.6873700633229807,0.9375,0.0125,2.07656302142176,False,best lower-tail result in candidate family
vertical-34r-2x6-z4,vertical-34r-2x6-z4,vertical-34r-2x6,radial_vertical,4.0,True,46,2,1,False,medium,lowest_loss_swr_2p5,144,0.4458591254072431,0.5562926284138596,0.6400098678130047,0.9166666666666666,0.016666666666666666,2.129772746488502,True,nondominated efficiency/wire tradeoff
trap-60ft-20m-traps-z1,trap-60ft-20m-traps-z1,trap-60ft-20m-traps,trap_loaded,1.0,True,60.0,3,1,False,high,lowest_loss_swr_2p5,144,0.21077273766056653,0.28932552557631386,0.45279370617209613,0.0,0.5125,7.780376680845844,False,best lower-tail result in candidate family
doublet-58r-32l,doublet-58r-32l,doublet-58r-32l,balanced_doublet,1.0,True,122.0,1,1,False,medium,lowest_loss_swr_2p5,972,0.1185875078264399,0.1565711303851086,0.6207306919659739,0.24074074074074073,0.21851851851851853,3.4860026437864335,False,best lower-tail result in candidate family
efhw-62ft-f0.01-z49,efhw-62ft-f0.01-z49,efhw-62ft-f0.01,efhw,49.0,True,62,3,1,False,medium,lowest_loss_swr_2p5,72,0.04897470588727482,0.07690326311466726,0.17287075548926628,0.0,0.8083333333333333,10.165807185492717,False,best lower-tail result in candidate family
