factor,level,scenario_count,weighted_efficiency_p10,weighted_efficiency_p50,weighted_efficiency_p90,weighted_efficiency_mean
deployment,ground_collinear_20,72,0.7787542176675891,0.8382524921537124,0.8849546744809716,0.8379597794836621
deployment,ground_side_20,72,0.7708815448434931,0.830013324995857,0.8788840650968465,0.829825388866638
deployment,table_collinear_30,72,0.7777181584236262,0.8237200144286054,0.8734247767379788,0.8259560573054849
deployment,table_side_30,72,0.7788000012228188,0.8235765679599234,0.8720776012892819,0.8205500232793437
ground,average,144,0.7729325289175331,0.8249355122280413,0.8801719732472977,0.8256164279162651
ground,poor,144,0.7861888052053098,0.835708524210007,0.8826350595040767,0.8315291965512992
conductor,ccs_mid,144,0.7628057471288224,0.809532633243228,0.8376250050773808,0.8045115357652682
conductor,copper,144,0.8108380756857655,0.856441133002479,0.8872447014685116,0.8526340887022961
profile,khatu1,144,0.7861888052053098,0.8369752578813223,0.8872447014685116,0.8393743418557855
profile,khatu1_wide_sensitivity,144,0.7628057471288224,0.8116328400941045,0.8646823907142002,0.8177712826117788
tuner_loss_envelope,conservative,96,0.7614999757450962,0.797393845968203,0.8304410735416926,0.7955349215821039
tuner_loss_envelope,nominal,96,0.7983808401299702,0.8367453212487386,0.8720776012892819,0.835876877740947
tuner_loss_envelope,optimistic,96,0.8141294732267754,0.8531339866632639,0.889491309535732,0.8543066373782954
component_loss_envelope,0,96,0.7782361880456077,0.8294236245305897,0.8798039994900259,0.8285728122337822
component_loss_envelope,1,96,0.7782361880456077,0.8294236245305897,0.8798039994900259,0.8285728122337822
component_loss_envelope,2,96,0.7782361880456077,0.8294236245305897,0.8798039994900259,0.8285728122337822
