candidate,radiator_ft,counterpoise_ft,deployment,ground,conductivity,band,frequency_hz,resistance_ohm,reactance_ohm,raw_swr,minimum_q,inside_empirical_kh1_separator,nec_efficiency
29r-17c,29.0,17.0,20ft,average,ccs_mid,40m,7050000,37.837,-497.92,133.11930294737962,11.43701697006986,False,0.8628
29r-17c,29.0,17.0,20ft,average,ccs_mid,30m,10120000,78.671,4.3923,1.581619399981237,0.7604765293468347,True,0.8865999999999999
29r-17c,29.0,17.0,20ft,average,ccs_mid,20m,14050000,444.77,952.16,49.75524700921442,6.975881860950052,False,0.9092
29r-17c,29.0,17.0,20ft,average,ccs_mid,17m,18080000,524.54,-931.71,43.66206787349217,6.526074580771324,False,0.905
29r-17c,29.0,17.0,20ft,average,ccs_mid,15m,21050000,209.45,55.336,4.497780347651152,1.8658488090103822,True,0.8966
29r-17c,29.0,17.0,20ft,average,copper,40m,7050000,35.689,-499.96,142.18451404041593,11.823305597542465,False,0.9261
29r-17c,29.0,17.0,20ft,average,copper,30m,10120000,74.807,1.0871,1.4967109055855232,0.7045963071880511,True,0.9396
29r-17c,29.0,17.0,20ft,average,copper,20m,14050000,423.15,945.49,50.8137014619555,7.050902054698125,False,0.9521
29r-17c,29.0,17.0,20ft,average,copper,17m,18080000,524.73,-958.79,45.606104174242766,6.673285844586774,False,0.95
29r-17c,29.0,17.0,20ft,average,copper,15m,21050000,201.06,46.988,4.254457608660115,1.8002286553045668,True,0.9451
29r-17c,29.0,17.0,20ft,poor,ccs_mid,40m,7050000,43.203,-511.1,122.94152658887226,10.990556560043967,False,0.8805
29r-17c,29.0,17.0,20ft,poor,ccs_mid,30m,10120000,84.987,-4.9788,1.7086368813510653,0.839984207301757,True,0.8957999999999999
29r-17c,29.0,17.0,20ft,poor,ccs_mid,20m,14050000,450.44,923.87,46.99639207099517,6.77544594288016,False,0.9134
29r-17c,29.0,17.0,20ft,poor,ccs_mid,17m,18080000,532.6,-964.52,45.65821794248072,6.6772929186154,False,0.902
29r-17c,29.0,17.0,20ft,poor,ccs_mid,15m,21050000,219.79,53.705,4.67168744049623,1.9126560015113498,True,0.9009999999999999
29r-17c,29.0,17.0,20ft,poor,copper,40m,7050000,41.06,-513.13,130.28376161148884,11.316965450779005,False,0.9361
29r-17c,29.0,17.0,20ft,poor,copper,30m,10120000,81.131,-8.2382,1.6493314132813783,0.7995939331689444,True,0.9447
29r-17c,29.0,17.0,20ft,poor,copper,20m,14050000,429.52,917.48,47.881749822125634,6.840045730209543,False,0.9544
29r-17c,29.0,17.0,20ft,poor,copper,17m,18080000,532.9,-993.01,47.738529763724934,6.8312261688633376,False,0.9483
29r-17c,29.0,17.0,20ft,poor,copper,15m,21050000,211.15,45.5,4.430166140676725,1.8490789125956522,True,0.9475
29r-17c,29.0,17.0,30ft,average,ccs_mid,40m,7050000,41.163,-511.55,129.17516315746974,11.268017638189342,False,0.8742
29r-17c,29.0,17.0,30ft,average,ccs_mid,30m,10120000,88.35,-3.5747,1.7712508950649273,0.8774352939012586,True,0.8996999999999999
29r-17c,29.0,17.0,30ft,average,ccs_mid,20m,14050000,465.54,901.75,44.32940079948493,6.576059384984389,False,0.9196
29r-17c,29.0,17.0,30ft,average,ccs_mid,17m,18080000,585.94,-1031.8,48.12192770258322,6.859837846534382,False,0.9044
29r-17c,29.0,17.0,30ft,average,ccs_mid,15m,21050000,188.74,25.569,3.8491980329913402,1.6864393588987954,True,0.8835999999999999
29r-17c,29.0,17.0,30ft,average,copper,40m,7050000,38.966,-513.62,137.45813262109536,11.626789652371356,False,0.9325
29r-17c,29.0,17.0,30ft,average,copper,30m,10120000,84.386,-6.875,1.7048892128614346,0.8360156955841801,True,0.9468000000000001
29r-17c,29.0,17.0,30ft,average,copper,20m,14050000,444.94,896.06,45.0803088118378,6.632504560407828,False,0.9577
29r-17c,29.0,17.0,30ft,average,copper,17m,18080000,588.69,-1062.9,50.220870921984066,7.011123206478368,False,0.9495999999999999
29r-17c,29.0,17.0,30ft,average,copper,15m,21050000,180.07,16.773,3.6352312619258704,1.6225434136991808,True,0.9378
29r-17c,29.0,17.0,30ft,poor,ccs_mid,40m,7050000,43.421,-526.86,129.8680940070162,11.301516605324855,False,0.8815999999999999
29r-17c,29.0,17.0,30ft,poor,ccs_mid,30m,10120000,86.607,-14.709,1.8055861804556934,0.8843655355670557,True,0.8985
29r-17c,29.0,17.0,30ft,poor,ccs_mid,20m,14050000,450.46,900.83,45.12763863740856,6.636173623379092,False,0.9172
29r-17c,29.0,17.0,30ft,poor,ccs_mid,17m,18080000,576.41,-1046.9,49.62326510826067,6.968261844638289,False,0.902
