geometry,radiator_ft,band,frequency_hz,resistance_ohm,reactance_ohm,nec_efficiency,center_height_ft,end_height_ft,included_angle_deg
carolina_20_5,40.5,40m,7050000,12.582,-721.84,0.6789000000000001,20.0,5.0,84.41089280746459
carolina_20_5,40.5,30m,10120000,28.006,-235.71,0.7920999999999999,20.0,5.0,84.41089280746459
carolina_20_5,40.5,20m,14050000,86.223,298.32,0.8776,20.0,5.0,84.41089280746459
carolina_20_5,40.5,17m,18080000,379.99,1148.9,0.9205,20.0,5.0,84.41089280746459
carolina_20_5,40.5,15m,21050000,2272.4,2457.0,0.9361,20.0,5.0,84.41089280746459
carolina_20_5,40.5,12m,24910000,1365.5,-2230.3,0.9431999999999999,20.0,5.0,84.41089280746459
carolina_20_5,40.5,10m,28050000,347.11,-1121.5,0.9396,20.0,5.0,84.41089280746459
carolina_20_5,41.0,40m,7050000,13.1,-703.45,0.6862999999999999,20.0,5.0,85.94056786348634
carolina_20_5,41.0,30m,10120000,29.482,-217.23,0.7979,20.0,5.0,85.94056786348634
carolina_20_5,41.0,20m,14050000,92.613,326.52,0.8813,20.0,5.0,85.94056786348634
carolina_20_5,41.0,17m,18080000,428.93,1224.0,0.9228000000000001,20.0,5.0,85.94056786348634
carolina_20_5,41.0,15m,21050000,2778.4,2439.7,0.9375,20.0,5.0,85.94056786348634
carolina_20_5,41.0,12m,24910000,1148.1,-2075.3,0.9434,20.0,5.0,85.94056786348634
carolina_20_5,41.0,10m,28050000,315.49,-1045.4,0.9384999999999999,20.0,5.0,85.94056786348634
carolina_20_5,41.5,40m,7050000,13.624,-685.39,0.6931999999999999,20.0,5.0,87.41253511958465
carolina_20_5,41.5,30m,10120000,30.996,-198.89,0.8033,20.0,5.0,87.41253511958465
carolina_20_5,41.5,20m,14050000,99.379,355.15,0.8847,20.0,5.0,87.41253511958465
carolina_20_5,41.5,17m,18080000,485.05,1303.2,0.9248000000000001,20.0,5.0,87.41253511958465
carolina_20_5,41.5,15m,21050000,3355.0,2285.4,0.9387000000000001,20.0,5.0,87.41253511958465
carolina_20_5,41.5,12m,24910000,977.48,-1931.1,0.9434,20.0,5.0,87.41253511958465
carolina_20_5,41.5,10m,28050000,288.0,-975.06,0.9372,20.0,5.0,87.41253511958465
carolina_20_5,42.0,40m,7050000,14.155,-667.64,0.6995999999999999,20.0,5.0,88.83061719438595
carolina_20_5,42.0,30m,10120000,32.55,-180.7,0.8083,20.0,5.0,88.83061719438595
carolina_20_5,42.0,20m,14050000,106.55,384.25,0.8879,20.0,5.0,88.83061719438595
carolina_20_5,42.0,17m,18080000,549.71,1386.8,0.9266,20.0,5.0,88.83061719438595
carolina_20_5,42.0,15m,21050000,3954.1,1936.5,0.9397,20.0,5.0,88.83061719438595
carolina_20_5,42.0,12m,24910000,841.42,-1798.6,0.9431999999999999,20.0,5.0,88.83061719438595
carolina_20_5,42.0,10m,28050000,263.94,-909.67,0.9356,20.0,5.0,88.83061719438595
carolina_20_5,42.5,40m,7050000,14.691,-650.2,0.7056999999999999,20.0,5.0,90.19825568805459
carolina_20_5,42.5,30m,10120000,34.145,-162.64,0.8129000000000001,20.0,5.0,90.19825568805459
carolina_20_5,42.5,20m,14050000,114.17,413.87,0.8908,20.0,5.0,90.19825568805459
carolina_20_5,42.5,17m,18080000,624.58,1474.9,0.9283,20.0,5.0,90.19825568805459
carolina_20_5,42.5,15m,21050000,4480.9,1358.1,0.9406,20.0,5.0,90.19825568805459
carolina_20_5,42.5,12m,24910000,731.28,-1677.6,0.9429000000000001,20.0,5.0,90.19825568805459
carolina_20_5,42.5,10m,28050000,242.76,-848.47,0.9338,20.0,5.0,90.19825568805459
carolina_20_5,43.0,40m,7050000,15.235,-633.04,0.7114,20.0,5.0,91.51856241959904
carolina_20_5,43.0,30m,10120000,35.782,-144.69,0.8173,20.0,5.0,91.51856241959904
carolina_20_5,43.0,20m,14050000,122.26,444.05,0.8935,20.0,5.0,91.51856241959904
carolina_20_5,43.0,17m,18080000,711.76,1567.5,0.9298000000000001,20.0,5.0,91.51856241959904
