antenna_type,selection,band,frequency_hz,maximum_gain_dbi,maximum_gain_0_30deg_dbi,maximum_gain_60_90deg_dbi,nec_efficiency
doublet,current_58_28,40m,7050000,4.27,0.73,4.27,0.7676999999999999
doublet,current_58_28,30m,10120000,4.8,2.75,4.8,0.8721
doublet,current_58_28,20m,14050000,5.11,4.27,4.7,0.9214
doublet,current_58_28,17m,18080000,5.46,5.06,4.23,0.9286
doublet,current_58_28,15m,21050000,5.53,4.87,4.66,0.9114
doublet,classic_44_28,40m,7050000,1.71,-1.79,1.71,0.4771
doublet,classic_44_28,30m,10120000,2.94,1.0,2.94,0.6564
doublet,classic_44_28,20m,14050000,3.57,2.93,2.94,0.7815000000000001
doublet,classic_44_28,17m,18080000,3.99,3.88,1.35,0.8453
doublet,classic_44_28,15m,21050000,3.93,3.93,-0.49,0.8728
direct,35r-25c,40m,7050000,-0.36,-0.47,-0.99,0.8645999999999999
direct,35r-25c,30m,10120000,1.24,1.03,1.09,0.8953
direct,35r-25c,20m,14050000,2.38,2.3,2.05,0.9048999999999999
direct,35r-25c,17m,18080000,-1.62,-4.12,-1.62,0.9076000000000001
direct,35r-25c,15m,21050000,0.28,-1.55,0.28,0.9081
direct,35r-17c,40m,7050000,-0.39,-0.45,-1.34,0.8741
direct,35r-17c,30m,10120000,1.11,1.01,0.74,0.9007
direct,35r-17c,20m,14050000,2.37,2.31,1.99,0.9076000000000001
direct,35r-17c,17m,18080000,1.48,1.48,-0.09,0.8739
direct,35r-17c,15m,21050000,0.2,0.03,0.2,0.8906000000000001
linked_reference,resonant,40m,7050000,5.4,1.94,5.4,0.8311
linked_reference,resonant,30m,10120000,5.58,4.01,5.56,0.8784000000000001
linked_reference,resonant,20m,14050000,6.09,5.86,4.17,0.8951
linked_reference,resonant,17m,18080000,7.11,7.11,-1.69,0.8887
linked_reference,resonant,15m,21050000,7.46,7.46,2.44,0.8917
