candidate_index,radiator_total_ft,radiator_leg_ft,feedline_ft,wire_per_conductor_ft,trim_per_end_in,feedline_split_shift_in,valid_fraction,worst_band_line_efficiency_p10,worst_band_line_efficiency_median,worst_band_line_efficiency_p90,weighted_line_efficiency_p10,weighted_line_efficiency_median,weighted_line_efficiency_p90,maximum_raw_swr_p90,maximum_raw_swr_median,maximum_l_network_q_proxy_p90,40m_line_efficiency_p10,40m_line_efficiency_median,40m_line_efficiency_p90,30m_line_efficiency_p10,30m_line_efficiency_median,30m_line_efficiency_p90,20m_line_efficiency_p10,20m_line_efficiency_median,20m_line_efficiency_p90,17m_line_efficiency_p10,17m_line_efficiency_median,17m_line_efficiency_p90,15m_line_efficiency_p10,15m_line_efficiency_median,15m_line_efficiency_p90,12m_line_efficiency_p10,12m_line_efficiency_median,12m_line_efficiency_p90,10m_line_efficiency_p10,10m_line_efficiency_median,10m_line_efficiency_p90,match_proxy_feasible
3283,58.0,29.0,28.75,57.75,-9.0,9.0,1.0,0.1532455,0.5344909,0.90776485,0.6464724,0.83719283,0.97045434,23.458717,23.341612,4.560438,0.9586801,0.9773533,0.99552625,0.9519393,0.97382396,0.9948603,0.694909,0.83324397,0.9671451,0.1532455,0.5344909,0.90776485,0.9561089,0.9760883,0.9953035,0.4660589,0.7076046,0.9422851,0.40622124,0.67459244,0.93572205,True
3282,58.0,29.0,28.5,57.5,-6.0,6.0,1.0,0.15438224,0.5366633,0.9084935,0.6479875,0.8382663,0.9706998,24.666868,24.586744,4.5626173,0.9590248,0.9775458,0.995565,0.95233744,0.97404575,0.99490476,0.69675756,0.834454,0.9674215,0.15438224,0.5366633,0.9084935,0.95647424,0.97629136,0.99534416,0.46823305,0.7094084,0.94275826,0.4083297,0.6765068,0.9362454,True
3202,57.75,28.875,28.75,57.625,-7.5,9.0,1.0,0.18371211,0.5995339,0.9153832,0.66411215,0.8521264,0.97118986,25.259275,24.132362,4.4936676,0.9557478,0.97599363,0.9953046,0.95276356,0.9744818,0.9949986,0.68817276,0.83185565,0.9657998,0.18371211,0.61183095,0.91644263,0.95766395,0.9771549,0.9955191,0.44835022,0.723127,0.9396623,0.4292377,0.7663804,0.9382342,True
3201,57.75,28.875,28.5,57.375,-4.5,6.0,1.0,0.18502547,0.601629,0.9160573,0.66563314,0.8531337,0.97142965,26.30852,25.260868,4.5111856,0.95611584,0.9761975,0.99534523,0.9531552,0.9746982,0.99504185,0.690044,0.83307374,0.9660871,0.18502547,0.6139033,0.917109,0.95801693,0.97734916,0.9955579,0.45051146,0.72487235,0.94015557,0.43137884,0.7679408,0.9387384,True
3200,57.75,28.875,28.25,57.125,-1.5,3.0,1.0,0.18635775,0.6037389,0.9167323,0.6671648,0.8541446,0.97166955,27.74218,26.619831,4.5251513,0.95648414,0.9764014,0.9953859,0.9535472,0.97491467,0.9950851,0.6919254,0.8342954,0.9663746,0.18635775,0.6159897,0.91777635,0.9583702,0.9775435,0.9955967,0.45269358,0.72662604,0.94064933,0.43354145,0.7695075,0.93924314,True
3121,57.5,28.75,28.75,57.5,-6.0,9.0,1.0,0.19297269,0.63114226,0.9252235,0.664264,0.8743229,0.9710656,28.419865,25.27685,4.463004,0.951812,0.97374415,0.9950272,0.953114,0.97486633,0.99514395,0.6758255,0.84386826,0.96425456,0.1998441,0.7298595,0.9284892,0.9588403,0.9779544,0.99569553,0.41500157,0.7194857,0.9386883,0.43980813,0.8127953,0.9430318,True
3120,57.5,28.75,28.5,57.25,-3.0,6.0,1.0,0.1943365,0.63317317,0.92582554,0.66581285,0.87520134,0.97130674,29.370636,26.448633,4.479747,0.95221114,0.9739666,0.9950702,0.95350283,0.9750795,0.99518603,0.67773604,0.84501565,0.96455437,0.20124437,0.731578,0.9290669,0.95918393,0.978142,0.9957328,0.41712362,0.72124505,0.939189,0.44196117,0.81412053,0.94349915,True
3119,57.5,28.75,28.25,57.0,0.0,3.0,1.0,0.19571973,0.6352172,0.9264283,0.66737247,0.8760827,0.971548,30.822338,27.667427,4.4904785,0.95261055,0.97418904,0.99511325,0.95389205,0.9752927,0.99522805,0.6796575,0.8461661,0.9648544,0.2026644,0.7333046,0.92964536,0.9595278,0.97832966,0.99577004,0.41926742,0.7230129,0.9396903,0.44413537,0.8154502,0.94396704,True
3040,57.25,28.625,28.75,57.375,-4.5,9.0,1.0,0.20821375,0.6776604,0.9257432,0.66433823,0.8933394,0.97193193,32.328587,26.857899,4.4187984,0.9475013,0.9713007,0.99465704,0.9541559,0.9752711,0.9952916,0.66256595,0.8679274,0.96477956,0.21351121,0.751321,0.9363719,0.96063215,0.97880554,0.9958786,0.3865099,0.7335281,0.9450262,0.44624847,0.8220069,0.9504253,True
3039,57.25,28.625,28.5,57.125,-1.5,6.0,1.0,0.20965728,0.6795653,0.92634135,0.6658881,0.89409864,0.97216606,33.455,27.991014,4.4348803,0.94793415,0.97154325,0.99470323,0.9545367,0.9754809,0.9953323,0.66451585,0.86892533,0.9650751,0.21498153,0.75294924,0.9368903,0.9609615,0.9789861,0.99591434,0.388583,0.73523176,0.94547826,0.4484078,0.8232814,0.9508352,True
