selection_category,radiator_total_ft,feedline_ft,band,r_input_p10_ohm,r_input_median_ohm,r_input_p90_ohm,x_input_p10_ohm,x_input_median_ohm,x_input_p90_ohm,raw_swr_p10,raw_swr_median,raw_swr_p90,line_efficiency_p10,line_efficiency_median,line_efficiency_p90
measured_baseline,58.0,28.0,40m,35.499999999999964,35.5,35.500000000000036,-211.00000000000003,-211.0,-210.99999999999997,27.163890647614952,27.163890647615,27.163890647615045,0.9597149026085049,0.9779310965018073,0.9956424462851005
measured_baseline,58.0,28.0,30m,30.999999999999975,31.0,31.000000000000036,-25.500000000000036,-25.499999999999996,-25.49999999999996,2.1973193768721537,2.197319376872156,2.1973193768721573,0.953134713323402,0.9744895496058507,0.994993683450462
measured_baseline,58.0,28.0,20m,5.799999999999966,5.800000000000001,5.800000000000035,-71.80000000000004,-71.8,-71.79999999999997,26.475608696211733,26.47560869621186,26.475608696212028,0.7004844545171285,0.8368846938395917,0.9679747231331144
measured_baseline,58.0,28.0,17m,2.299999999999964,2.3000000000000016,2.3000000000000367,-35.100000000000044,-35.1,-35.099999999999966,32.46746080157933,32.46746080157989,32.46746080158039,0.15670712033146156,0.5410615098364453,0.9099543176090057
measured_baseline,58.0,28.0,15m,49.099999999999966,49.10000000000001,49.100000000000044,2.2999999999999496,2.3000000000000074,2.3000000000000473,1.0511048586077951,1.0511048586077962,1.051104858607797,0.9572057977345796,0.9766977933038336,0.9954254826325277
measured_baseline,58.0,28.0,12m,4.299999999999965,4.299999999999997,4.300000000000024,-16.000000000000014,-16.0,-15.999999999999991,12.826641922802615,12.826641922802677,12.826641922802773,0.47264274329390893,0.7130437138299249,0.9437059839577344
measured_baseline,58.0,28.0,10m,4.099999999999968,4.100000000000005,4.1000000000000325,-21.400000000000052,-21.4,-21.399999999999967,14.441829867829409,14.441829867829503,14.441829867829632,0.41261296779647616,0.6803682726925879,0.937293737945016
recommended_reversible_trim_test,57.0,28.0,40m,20.417487235636937,28.331100630298128,36.7670033144816,-207.19227558252646,-205.97256553371457,-203.6267707270565,25.133100177723474,32.47598621390745,43.232951033557754,0.9440023310240724,0.9709717964137049,0.9943977751741557
recommended_reversible_trim_test,57.0,28.0,30m,29.29707342659178,35.31862619241838,41.97016252614773,-30.981192019372944,-27.508399098557113,-20.03078568960147,1.9219418161827095,2.0401778663340084,2.1205881224031677,0.9565430581778491,0.976252473103161,0.99556429124719
recommended_reversible_trim_test,57.0,28.0,20m,4.393705522236668,5.1122080864660555,21.724279239209558,-71.86095897023958,-71.62036065578768,-57.572745558481984,5.560819580335361,29.96145031246038,34.880714622611514,0.6534222300494602,0.8657072250457123,0.9643913866658452
